Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 0 of 20 (0 %) | Date: 14:41:57-06/01/17 | Timestamp: 1496338917
Site: manager.naf.ufscar.br | Amount instances: 0 of 20 (0 %) | Date: 14:41:58-06/01/17 | Timestamp: 1496338918
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 0 of 20 (0 %) | Date: 14:42:09-06/01/17 | Timestamp: 1496338929
Site: manager.naf.ufscar.br | Amount instances: 0 of 20 (0 %) | Date: 14:42:09-06/01/17 | Timestamp: 1496338929
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 0 of 20 (0 %) | Date: 14:42:20-06/01/17 | Timestamp: 1496338940
Site: manager.naf.ufscar.br | Amount instances: 0 of 20 (0 %) | Date: 14:42:20-06/01/17 | Timestamp: 1496338940
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 0 of 20 (0 %) | Date: 14:42:31-06/01/17 | Timestamp: 1496338951
Site: manager.naf.ufscar.br | Amount instances: 0 of 20 (0 %) | Date: 14:42:31-06/01/17 | Timestamp: 1496338951
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 0 of 20 (0 %) | Date: 14:42:42-06/01/17 | Timestamp: 1496338962
Site: manager.naf.ufscar.br | Amount instances: 0 of 20 (0 %) | Date: 14:42:43-06/01/17 | Timestamp: 1496338963
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 0 of 20 (0 %) | Date: 14:42:53-06/01/17 | Timestamp: 1496338973
Site: manager.naf.ufscar.br | Amount instances: 0 of 20 (0 %) | Date: 14:42:54-06/01/17 | Timestamp: 1496338974
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 0 of 20 (0 %) | Date: 14:43:04-06/01/17 | Timestamp: 1496338984
Site: manager.naf.ufscar.br | Amount instances: 1 of 20 (5 %) | Date: 14:43:05-06/01/17 | Timestamp: 1496338985
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 1 of 20 (5 %) | Date: 14:43:16-06/01/17 | Timestamp: 1496338996
Site: manager.naf.ufscar.br | Amount instances: 1 of 20 (5 %) | Date: 14:43:16-06/01/17 | Timestamp: 1496338996
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 1 of 20 (5 %) | Date: 14:43:27-06/01/17 | Timestamp: 1496339007
Site: manager.naf.ufscar.br | Amount instances: 1 of 20 (5 %) | Date: 14:43:27-06/01/17 | Timestamp: 1496339007
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 1 of 20 (5 %) | Date: 14:43:38-06/01/17 | Timestamp: 1496339018
Site: manager.naf.ufscar.br | Amount instances: 1 of 20 (5 %) | Date: 14:43:39-06/01/17 | Timestamp: 1496339019
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 1 of 20 (5 %) | Date: 14:43:49-06/01/17 | Timestamp: 1496339029
Site: manager.naf.ufscar.br | Amount instances: 1 of 20 (5 %) | Date: 14:43:50-06/01/17 | Timestamp: 1496339030
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 1 of 20 (5 %) | Date: 14:44:00-06/01/17 | Timestamp: 1496339040
Site: manager.naf.ufscar.br | Amount instances: 1 of 20 (5 %) | Date: 14:44:01-06/01/17 | Timestamp: 1496339041
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 1 of 20 (5 %) | Date: 14:44:11-06/01/17 | Timestamp: 1496339051
Site: manager.naf.ufscar.br | Amount instances: 1 of 20 (5 %) | Date: 14:44:12-06/01/17 | Timestamp: 1496339052
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 1 of 20 (5 %) | Date: 14:44:23-06/01/17 | Timestamp: 1496339063
Site: manager.naf.ufscar.br | Amount instances: 1 of 20 (5 %) | Date: 14:44:23-06/01/17 | Timestamp: 1496339063
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 1 of 20 (5 %) | Date: 14:44:34-06/01/17 | Timestamp: 1496339074
Site: manager.naf.ufscar.br | Amount instances: 1 of 20 (5 %) | Date: 14:44:35-06/01/17 | Timestamp: 1496339075
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 1 of 20 (5 %) | Date: 14:44:45-06/01/17 | Timestamp: 1496339085
Site: manager.naf.ufscar.br | Amount instances: 1 of 20 (5 %) | Date: 14:44:46-06/01/17 | Timestamp: 1496339086
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 2 of 20 (10 %) | Date: 14:44:56-06/01/17 | Timestamp: 1496339096
Site: manager.naf.ufscar.br | Amount instances: 1 of 20 (5 %) | Date: 14:44:57-06/01/17 | Timestamp: 1496339097
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 2 of 20 (10 %) | Date: 14:45:07-06/01/17 | Timestamp: 1496339107
Site: manager.naf.ufscar.br | Amount instances: 1 of 20 (5 %) | Date: 14:45:08-06/01/17 | Timestamp: 1496339108
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 2 of 20 (10 %) | Date: 14:45:19-06/01/17 | Timestamp: 1496339119
Site: manager.naf.ufscar.br | Amount instances: 1 of 20 (5 %) | Date: 14:45:19-06/01/17 | Timestamp: 1496339119
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 2 of 20 (10 %) | Date: 14:45:30-06/01/17 | Timestamp: 1496339130
Site: manager.naf.ufscar.br | Amount instances: 1 of 20 (5 %) | Date: 14:45:30-06/01/17 | Timestamp: 1496339130
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 2 of 20 (10 %) | Date: 14:45:41-06/01/17 | Timestamp: 1496339141
Site: manager.naf.ufscar.br | Amount instances: 1 of 20 (5 %) | Date: 14:45:41-06/01/17 | Timestamp: 1496339141
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 2 of 20 (10 %) | Date: 14:45:52-06/01/17 | Timestamp: 1496339152
Site: manager.naf.ufscar.br | Amount instances: 1 of 20 (5 %) | Date: 14:45:53-06/01/17 | Timestamp: 1496339153
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 2 of 20 (10 %) | Date: 14:46:03-06/01/17 | Timestamp: 1496339163
Site: manager.naf.ufscar.br | Amount instances: 1 of 20 (5 %) | Date: 14:46:04-06/01/17 | Timestamp: 1496339164
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 2 of 20 (10 %) | Date: 14:46:15-06/01/17 | Timestamp: 1496339175
Site: manager.naf.ufscar.br | Amount instances: 1 of 20 (5 %) | Date: 14:46:15-06/01/17 | Timestamp: 1496339175
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 2 of 20 (10 %) | Date: 14:46:26-06/01/17 | Timestamp: 1496339186
Site: manager.naf.ufscar.br | Amount instances: 1 of 20 (5 %) | Date: 14:46:26-06/01/17 | Timestamp: 1496339186
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 2 of 20 (10 %) | Date: 14:46:37-06/01/17 | Timestamp: 1496339197
Site: manager.naf.ufscar.br | Amount instances: 1 of 20 (5 %) | Date: 14:46:37-06/01/17 | Timestamp: 1496339197
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 2 of 20 (10 %) | Date: 14:46:48-06/01/17 | Timestamp: 1496339208
Site: manager.naf.ufscar.br | Amount instances: 3 of 20 (15 %) | Date: 14:46:49-06/01/17 | Timestamp: 1496339209
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 2 of 20 (10 %) | Date: 14:46:59-06/01/17 | Timestamp: 1496339219
Site: manager.naf.ufscar.br | Amount instances: 3 of 20 (15 %) | Date: 14:47:01-06/01/17 | Timestamp: 1496339221
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 4 of 20 (20 %) | Date: 14:47:12-06/01/17 | Timestamp: 1496339232
Site: manager.naf.ufscar.br | Amount instances: 3 of 20 (15 %) | Date: 14:47:13-06/01/17 | Timestamp: 1496339233
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 4 of 20 (20 %) | Date: 14:47:23-06/01/17 | Timestamp: 1496339243
Site: manager.naf.ufscar.br | Amount instances: 3 of 20 (15 %) | Date: 14:47:24-06/01/17 | Timestamp: 1496339244
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 4 of 20 (20 %) | Date: 14:47:34-06/01/17 | Timestamp: 1496339254
Site: manager.naf.ufscar.br | Amount instances: 3 of 20 (15 %) | Date: 14:47:35-06/01/17 | Timestamp: 1496339255
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 4 of 20 (20 %) | Date: 14:47:46-06/01/17 | Timestamp: 1496339266
Site: manager.naf.ufscar.br | Amount instances: 3 of 20 (15 %) | Date: 14:47:46-06/01/17 | Timestamp: 1496339266
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 4 of 20 (20 %) | Date: 14:47:57-06/01/17 | Timestamp: 1496339277
Site: manager.naf.ufscar.br | Amount instances: 3 of 20 (15 %) | Date: 14:47:57-06/01/17 | Timestamp: 1496339277
